scenario,pressure_scenario,buffer_scenario,ym,port,history_n,empty_in,empty_out,full_in,full_out,throughput,empty_net,empty_total_flow,full_total_flow,empty_share,net_pressure_raw,export_pull,roll3_empty_net,cum_empty_net,roll3_pressure_raw,positive_net_streak,buffer_raw,pressure_pct,buffer_pct,pressure_z,buffer_z,pressure_flow_raw,pressure_net_raw,pressure_roll_raw,buffer_space_raw,buffer_net_raw,buffer_export_raw,buffer_index,pressure_index,enough_history,high_pressure_cut,high_buffer_cut,low_pressure_cut,status,next_empty_net,next_roll3_empty_net,next_pressure_index,next_buffer_index,next_status,eligible_eval,high_buffer_flag,next_positive_roll3,next_low_pressure
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202501,基隆港,1,1339,38704,81209,18122,128813.75,-37365,40043,99331,0.3108596714248285,-0.29006996535695917,0.1406837391194651,-37365,-37365,-0.29006996535695917,0,0.6891403285751715,0,0,-2.4615612328441068,-2.030042034151811,0.01039485303393465,0,0,0.9896051469660654,0.29006996535695917,0.1406837391194651,0,0,FALSE,0,0,0,正常港,-19090,-28227.5,0.22,0.2,正常港,FALSE,FALSE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202502,基隆港,2,1671,20761,68084,19435,104992.75,-19090,22432,87519,0.21365284745851496,-0.1818220781911132,0.18510801936324175,-28227.5,-56455,-0.23594602177403615,0,0.786347152541485,0.9090909090909092,0.8181818181818182,-2.4615612328441068,-2.030042034151811,0.0159153846337009,0,0,0.9840846153662992,0.26885189691669187,0.18510801936324175,0.2,0.22,FALSE,1,0.2,0.22,正常港,-29756,-28737,0.22,0.1,正常港,FALSE,FALSE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202503,基隆港,3,2840,32596,91951,21451,136081.75,-29756,35436,113402,0.26040229494403183,-0.2186626788676659,0.1576331874038951,-28737,-86211,-0.23018490747191275,0,0.7395977050559682,0.3636363636363637,0.2727272727272727,-2.4615612328441068,-2.030042034151811,0.02086980803818293,0,0,0.979130191961817,0.21117453295537425,0.1576331874038951,0.1,0.22,TRUE,0.5,0.325,0.22,正常港,-27644,-25496.666666666668,0.07333333333333333,0.43333333333333335,高緩衝港,TRUE,FALSE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202504,基隆港,4,1860,29504,89606,23537,139028.75,-27644,31364,113143,0.2255936272173921,-0.19883657157242657,0.16929591900955737,-25496.666666666668,-113855,-0.1997737762104019,0,0.7744063727826079,0.6363636363636364,0.7272727272727273,-2.4615612328441068,-2.030042034151811,0.01337852782248276,0,0,0.9866214721775172,0.1833913249357897,0.16929591900955737,0.43333333333333335,0.07333333333333333,TRUE,0.8,0.36666666666666664,0.4533333333333333,高緩衝港,-31320,-29573.333333333332,0.22,0.1375,正常港,TRUE,TRUE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202505,基隆港,5,2999,34319,87370,20645,141255.5,-31320,37318,108015,0.2641879431243385,-0.22172587970025945,0.14615360109871828,-29573.333333333332,-145175,-0.21307504338011732,0,0.7358120568756614,0.18181818181818185,0.18181818181818185,-2.4615612328441068,-2.030042034151811,0.02123103171203953,0,0,0.9787689682879605,0.20936057947006192,0.14615360109871828,0.1375,0.22,TRUE,0.64,0.4,0.22,正常港,-28577,-29180.333333333332,0.132,0.51,正常港,TRUE,FALSE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202506,基隆港,6,2296,30873,87276,22312,136769.5,-28577,33169,109588,0.2425175203535876,-0.2089427832959834,0.163135786853063,-29180.333333333332,-173752,-0.2098350781895565,0,0.7574824796464124,0.5454545454545454,0.4545454545454546,-2.4615612328441068,-2.030042034151811,0.01678736852880211,0,0,0.983212631471198,0.21335409819684456,0.163135786853063,0.51,0.132,TRUE,0.132,0.51,0.08800000000000001,正常港,-28870,-29589,0,0.75,高緩衝港,TRUE,FALSE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202507,基隆港,7,1380,30250,86974,20893,135946.75,-28870,31630,107867,0.23266462787819495,-0.21236256107630375,0.15368517452605523,-29589,-202622,-0.21434374135751552,0,0.767335372121805,0.4545454545454546,0.6363636363636364,-2.4615612328441068,-2.030042034151811,0.01015103340094559,0,0,0.9898489665990544,0.21765139659462251,0.15368517452605523,0.75,0,TRUE,0.33999999999999997,0.625,0.07333333333333333,高緩衝港,-30665,-29370.666666666668,0.15714285714285714,0.3428571428571428,高緩衝港,TRUE,TRUE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202508,基隆港,8,2430,33095,90360,22389,139112,-30665,35525,112749,0.25536977399505434,-0.22043389499108632,0.16094226234976133,-29370.666666666668,-233287,-0.21391307978779112,0,0.7446302260049457,0.2727272727272727,0.3636363636363637,-2.4615612328441068,-2.030042034151811,0.01746793950198401,0,0,0.982532060498016,0.2111296413441448,0.16094226234976133,0.3428571428571428,0.15714285714285714,TRUE,0.2114285714285714,0.3428571428571428,0.15714285714285714,高緩衝港,-32712,-30749,0.1375,0.43125,高緩衝港,TRUE,TRUE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202509,基隆港,9,2329,35041,93011,18848,134993,-32712,37370,111859,0.2768291689198699,-0.24232367604246147,0.1396220544768988,-30749,-265999,-0.2250400440366172,0,0.72317083108013,0.09090909090909093,0.09090909090909093,-2.4615612328441068,-2.030042034151811,0.01725274643870423,0,0,0.9827472535612958,0.22778218129828953,0.1396220544768988,0.43125,0.1375,TRUE,0.59,0.35625,0.1375,高緩衝港,-24309,-29228.666666666668,0.1711111111111111,0.4833333333333333,高緩衝港,TRUE,TRUE,FALSE,TRUE
pressure_roc_prev_best__buffer_custom,roc_prev_best,custom,202510,基隆港,10,2527,26836,75672,19630,124129.75,-24309,29363,95302,0.23655086713700785,-0.19583540609724903,0.15814097748525233,-29228.666666666668,-290308,-0.21953099237693227,0,0.7634491328629921,0.7272727272727273,0.5454545454545454,-2.4615612328441068,-2.030042034151811,0.0203577305198794,0,0,0.9796422694801206,0.2354686661873295,0.15814097748525233,0.4833333333333333,0.1711111111111111,TRUE,0.5022222222222221,0.4833333333333333,0.1711111111111111,高緩衝港,-25006,-27342.333333333332,0,0.485,高緩衝港,TRUE,TRUE,FALSE,TRUE
